upstream_symbol	value	declaration_names	runtime_reverse_name	classification_markers	source_locations	moonbit_implementation	test_location	status
SyntaxKind[18]	18	TemplateTail	LastTemplateToken	LastTemplateToken	TemplateTail@src/compiler/types.ts:66, LastTemplateToken@src/compiler/types.ts:480	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[19]	19	OpenBraceToken	FirstPunctuation	FirstPunctuation	OpenBraceToken@src/compiler/types.ts:68, FirstPunctuation@src/compiler/types.ts:471	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[20]	20	CloseBraceToken	CloseBraceToken		CloseBraceToken@src/compiler/types.ts:69	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[21]	21	OpenParenToken	OpenParenToken		OpenParenToken@src/compiler/types.ts:70	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[22]	22	CloseParenToken	CloseParenToken		CloseParenToken@src/compiler/types.ts:71	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[23]	23	OpenBracketToken	OpenBracketToken		OpenBracketToken@src/compiler/types.ts:72	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[24]	24	CloseBracketToken	CloseBracketToken		CloseBracketToken@src/compiler/types.ts:73	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[25]	25	DotToken	DotToken		DotToken@src/compiler/types.ts:74	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[26]	26	DotDotDotToken	DotDotDotToken		DotDotDotToken@src/compiler/types.ts:75	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[27]	27	SemicolonToken	SemicolonToken		SemicolonToken@src/compiler/types.ts:76	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[28]	28	CommaToken	CommaToken		CommaToken@src/compiler/types.ts:77	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[29]	29	QuestionDotToken	QuestionDotToken		QuestionDotToken@src/compiler/types.ts:78	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[30]	30	LessThanToken	FirstBinaryOperator	FirstBinaryOperator	LessThanToken@src/compiler/types.ts:79, FirstBinaryOperator@src/compiler/types.ts:481	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[31]	31	LessThanSlashToken	LessThanSlashToken		LessThanSlashToken@src/compiler/types.ts:80	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[32]	32	GreaterThanToken	GreaterThanToken		GreaterThanToken@src/compiler/types.ts:81	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[33]	33	LessThanEqualsToken	LessThanEqualsToken		LessThanEqualsToken@src/compiler/types.ts:82	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[34]	34	GreaterThanEqualsToken	GreaterThanEqualsToken		GreaterThanEqualsToken@src/compiler/types.ts:83	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[35]	35	EqualsEqualsToken	EqualsEqualsToken		EqualsEqualsToken@src/compiler/types.ts:84	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[36]	36	ExclamationEqualsToken	ExclamationEqualsToken		ExclamationEqualsToken@src/compiler/types.ts:85	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[37]	37	EqualsEqualsEqualsToken	EqualsEqualsEqualsToken		EqualsEqualsEqualsToken@src/compiler/types.ts:86	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[38]	38	ExclamationEqualsEqualsToken	ExclamationEqualsEqualsToken		ExclamationEqualsEqualsToken@src/compiler/types.ts:87	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[39]	39	EqualsGreaterThanToken	EqualsGreaterThanToken		EqualsGreaterThanToken@src/compiler/types.ts:88	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[40]	40	PlusToken	PlusToken		PlusToken@src/compiler/types.ts:89	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[41]	41	MinusToken	MinusToken		MinusToken@src/compiler/types.ts:90	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[42]	42	AsteriskToken	AsteriskToken		AsteriskToken@src/compiler/types.ts:91	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[43]	43	AsteriskAsteriskToken	AsteriskAsteriskToken		AsteriskAsteriskToken@src/compiler/types.ts:92	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[44]	44	SlashToken	SlashToken		SlashToken@src/compiler/types.ts:93	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[45]	45	PercentToken	PercentToken		PercentToken@src/compiler/types.ts:94	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[46]	46	PlusPlusToken	PlusPlusToken		PlusPlusToken@src/compiler/types.ts:95	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[47]	47	MinusMinusToken	MinusMinusToken		MinusMinusToken@src/compiler/types.ts:96	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
